lon	lat	depth
-124.362651	42.151224	-22.265687
-124.683047	42.154957	-17.431373
-124.677002	42.154979	-17.519943
-124.670957	42.155002	-17.602137
-124.664913	42.155024	-17.681324
-124.658868	42.155045	-17.760530
-124.652823	42.155067	-17.836012
-124.646778	42.155088	-17.902918
-124.640733	42.155108	-17.969835
-124.634688	42.155129	-18.034783
-124.628643	42.155149	-18.085245
-124.622598	42.155169	-18.135713
-124.616553	42.155188	-18.186186
-124.610508	42.155207	-18.218881
-124.604463	42.155226	-18.255185
-124.598418	42.155245	-18.291493
-124.592373	42.155263	-18.319025
-124.586328	42.155281	-18.339187
-124.580283	42.155298	-18.380392
-124.574238	42.155316	-18.420101
-124.568193	42.155333	-18.455632
-124.562148	42.155349	-18.491164
-124.556103	42.155365	-18.550654
-124.550058	42.155381	-18.621909
-124.544013	42.155397	-18.693345
-124.537968	42.155412	-18.764784
-124.531923	42.155427	-18.867954
-124.525878	42.155442	-18.980299
-124.519833	42.155456	-19.092656
-124.513788	42.155471	-19.223582
-124.507743	42.155484	-19.365935
-124.501698	42.155498	-19.508305
-124.495653	42.155511	-19.657185
-124.489607	42.155524	-19.840650
-124.483562	42.155536	-19.976400
-124.477517	42.155548	-20.112165
-124.471472	42.155560	-20.274169
-124.465427	42.155572	-20.439564
-124.459382	42.155583	-20.560323
-124.453337	42.155594	-20.690837
-124.447292	42.155604	-20.827456
-124.441247	42.155614	-20.964117
-124.435201	42.155624	-21.074255
-124.429156	42.155634	-21.188540
-124.423111	42.155643	-21.302856
-124.417066	42.155652	-21.417110
-124.411021	42.155661	-21.514198
-124.404976	42.155669	-21.611305
-124.398930	42.155677	-21.708437
-124.392885	42.155685	-21.804747
-124.386840	42.155692	-21.895648
-124.380795	42.155699	-21.986584
-124.374750	42.155706	-22.076971
-124.368705	42.155712	-22.166901
-124.362659	42.155718	-22.261731
-124.719351	42.159308	-16.895669
-124.713305	42.159333	-16.988940
-124.707260	42.159357	-17.081643
-124.701215	42.159381	-17.174444
-124.695170	42.159405	-17.267254
-124.689124	42.159428	-17.355340
-124.683079	42.159451	-17.443273
-124.677034	42.159474	-17.531967
-124.670988	42.159496	-17.614410
-124.664943	42.159518	-17.693905
-124.658898	42.159540	-17.773419
-124.652852	42.159561	-17.849080
-124.646807	42.159582	-17.916238
-124.640762	42.159603	-17.983408
